,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134
10,117,117,117,117,117,109,109,117,126,126,134,134,134,134,134,134,134,134,134,134,109,117,100,91,76,57,48,41,30,21,17,13,10,5,4,3,2,5,12,16,20,27,39,48,66,82,82,91,100,109,126,126,134,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,134,109,109,109,109,109,109,100,100,91,76,70,70,70,70,82,82,82,91,100,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,117,117,117,117,117,117,117,117,117,117,117,117
11,126,126,126,126,126,117,117,126,126,134,134,134,134,134,134,134,134,134,134,134,117,117,109,91,76,62,48,43,31,22,17,13,10,6,5,2,2,4,12,16,20,27,39,48,66,82,91,91,100,117,126,134,134,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,134,117,117,117,117,117,109,109,100,91,82,76,76,76,76,82,82,91,100,100,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,126,126,126,126,126,126,126,126,126,126,126,126
12,134,134,134,134,134,126,126,126,134,148,148,148,148,148,148,148,148,148,148,148,126,126,117,100,82,62,50,43,32,22,17,13,10,5,3,2,3,5,12,16,20,27,39,48,70,91,91,100,109,126,134,148,148,156,156,156,156,156,156,156,156,156,156,156,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,134,126,126,126,126,117,117,109,109,100,82,82,82,82,82,91,91,100,100,109,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,134,134,134,134,134,148,148,148,148,148,148,148,148,148,148,148,148
13,134,134,134,134,134,134,126,134,148,148,148,148,148,148,148,148,148,148,148,148,126,126,126,109,91,66,52,45,32,22,17,14,10,5,2,2,2,5,12,16,20,27,37,48,70,91,100,109,109,126,148,148,156,156,166,166,166,166,166,166,166,166,166,156,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,134,126,126,126,126,126,126,117,109,109,91,82,82,82,82,91,100,100,109,117,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,148,148,148,148,156,156,156,156,156,156,156,156,156,156,156,156,156
14,148,148,148,148,148,134,134,134,148,156,156,156,156,156,156,156,156,156,156,156,134,134,134,109,91,70,52,47,32,22,18,14,11,6,5,3,3,5,12,16,20,27,37,48,70,100,109,109,117,134,148,156,156,166,166,166,166,166,166,166,166,166,166,156,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,134,126,126,126,126,126,126,117,117,109,91,82,82,82,82,100,100,109,117,117,126,126,126,126,126,126,126,126,126,126,126,126,126,126,134,156,156,156,156,156,166,166,166,166,166,166,166,166,166,166,166,166
15,148,156,156,156,156,148,148,156,156,166,166,166,166,166,166,156,156,156,156,156,148,148,148,126,100,82,62,50,34,22,18,14,11,8,7,4,6,8,12,15,20,30,39,57,82,109,126,134,126,134,148,156,156,166,166,166,166,166,166,166,166,166,166,156,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,156,156,156,156,148,134,134,134,134,134,126,126,117,117,100,100,100,100,100,117,126,126,134,148,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166
16,156,166,166,166,166,156,156,156,166,175,175,175,175,175,175,166,166,166,166,166,156,156,148,126,109,100,66,52,36,23,18,14,12,8,8,3,6,8,12,15,20,30,39,62,82,109,134,134,126,134,156,156,166,175,175,175,175,175,175,175,175,175,175,166,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,166,166,166,166,156,148,148,148,148,148,134,134,126,117,117,109,109,109,109,126,126,134,148,148,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,175,175,175,175,175,184,184,184,184,184,184,184,184,184,184,184,184
17,166,175,175,175,175,166,156,166,175,184,184,184,184,184,184,175,175,175,175,175,156,166,148,134,117,109,70,57,36,23,18,14,12,9,8,4,6,8,12,15,20,29,39,57,91,117,134,148,134,148,156,166,175,184,184,184,184,184,184,184,184,184,184,175,184,184,184,184,184,184,184,184,184,184,184,184,184,184,184,175,175,175,175,166,156,156,156,156,156,156,148,148,134,126,126,126,126,126,134,134,148,156,156,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,184,184,184,184,184,175,175,175,175,175,175,175,175,175,175,175,175
18,166,175,175,175,175,166,166,175,184,184,184,195,195,195,195,175,175,175,175,175,166,166,156,134,117,117,82,62,37,24,18,15,12,9,8,4,6,8,11,15,20,30,39,57,82,126,148,156,148,156,166,175,184,184,184,195,195,195,195,195,195,195,195,184,195,195,195,195,195,195,195,195,195,195,195,195,195,195,184,175,175,175,175,175,175,175,175,175,175,166,166,156,156,134,134,134,134,134,134,148,156,156,166,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,195,195,195,195,184,184,184,184,184,184,184,184,184,184,184,184,184
19,175,184,184,184,184,175,175,184,195,195,195,204,204,204,204,184,184,184,184,184,175,175,166,156,134,126,82,62,39,25,18,15,12,9,9,4,6,8,12,15,20,30,40,62,100,126,148,156,148,166,175,175,184,195,195,195,195,195,195,195,195,195,195,195,195,195,195,195,195,195,195,195,195,195,195,195,195,195,195,184,184,184,184,184,184,184,184,184,184,175,175,166,156,148,148,148,148,148,148,148,156,166,166,175,184,184,184,184,184,184,184,184,184,184,184,184,184,184,195,195,195,195,195,204,204,204,204,204,204,204,204,204,204,204,204
